Code,Offense,FMV,Class,Type,Attempted,Notes
'125.25,Murder in the Second Degree,F,A-I,Violent,F,
'110-125.25,Murder,F,A-I,Violent,T,
'130.35,Rape,F,B,Sex Offense,F,
'130.96,Predatory Sexual Assault Against a Child,F,A-II,Sex Offense,F,
'110-130.35,Rape,F,C,Sex Offense,T,
'105.10,Conspiracy in the 4th Degree,F,E,Misc,F,
'130.75,Course of Sexual Conduct Against a Child,F,B,Sex Offense,F,
'130.45,Criminal Sexual Act in the 2nd Degree,F,D,Sex Offense,F,
'VTL 1192.2,DWI,M,NA,Vehicle,F,
'220.77,Operating as a major trafficker,F,A-I,Narcotics,F,
'130.65,Sexual abuse (First Degree),F,D,Sex Offense,F,
'130.95,Predatory Sexual Assault,F,A-II,Sex Offense,F,
'220.21,Criminal Possession of a Controlled Substance in the First Degree,F,A-I,Narcotics,F,
'145.10,Criminal Mischief in the Second Degree,F,D,Property,F,
'120,Assault in the Third Degree,M,A,Violent,F,
'130.50,Criminal Sexual Act in the First Degree,F,B,Sex Offense,F,
'130.53,Persistent Sexual Abuse,F,E,Sex Offense,F,
'110-120.10,Assault in the First Degree,F,C,Violent,T,
'230.34,Sex Trafficking,F,B,Sex Offense,F,
'CO,NA,NA,NA,Misc,F,
'120.10,Assault in the First Degree,F,B,Violent,F,
'160.10,Robbery in the Second Degree,F,C,Violent,F,
'125.27,Murder in the First Degree,F,A-I,Violent,F,
'160.15,Robbery in the First Degree,F,B,Violent,F,
'220.43,Criminal Sale of a Controlled substance in the First Degree,F,A-I,Narcotics,F,
'265.13,Criminal Sale of a Firearm in the First Degree,F,B,Weapons,F,
'150.15,Arson in the Second Degree,F,B,Property,F,
'490.25,Crime of Terrorism,F,NA,Misc,F,
'140.30,Burglary in the First Degree,F,B,Property,F,
'125.14,Aggravated Vehicular Homicide,F,B,Violent,F,
'120.05,Assault in the Second Degree,F,D,Violent,F,
'140.25,Burglary in the Second Degree,F,C,Property,F,
'VOP,NA,NA,NA,Misc,F,
'150.20,Arson in the First Degree,F,A-I,Property,F,
'220.41,Criminal Sale of a Controlled Substance in the Second Degree,F,A-II,Narcotics,F,
'265.12,Criminal Sale of a Firearm in the Second Degree,F,C,Weapons,F,
'1192(2),Driving while intoxicated; per se,NA,NA,Vehicle,F,
'215.52,Aggravated Criminal Contempt,F,D,Misc,F,
'135.20,Kindapping in the Second Degree,F,B,Misc,F,
'220.39,Criminal Sale of a Controlled Substance in the Third Degree,F,B,Narcotics,F,
'110-125.27,Murder in the First Degree,F,A-I,Violent,T,
'140.20,Burglary in the Third Degree,F,D,Property,F,
'110-160.15,Robbery in the First Degree,F,C,Violent,T,
'265.03,Criminal Possession of a Weapon in the Second Degree,F,C,Weapons,F,
'220.16,Criminal Possession of a Controlled Substance in the Third Degree,F,B,Narcotics,F,
'155.35,Grand Larceny in the Third Degree,F,D,Property,F,
'121.12,Strangulation in the Second Degree,F,D,Violent,F,
'110-120.05,Assault in the Second Degree,F,E,Violent,T,
'135.25,Kidnapping in the First Degree,F,A-I,Violent,F,
'230.33,Compelling Prostitution,F,B,Sex Offense,F,
'105.13,Conspiracy in the Third Degree,F,D,Misc,F,
'130.80,Course of Sexual Conduct Against a Child in the Second Degree,F,D,Sex Offense,F,
'263.30,Facilitating a Sexual Performance by a Child with a Controlled Substance or Alcohol,F,B,Sex Offense,F,
'120.10H,Assault in the First Degree,F,B,Violent,F,
'110-265.03,Criminal Possession of a Weapon in the Second Degree,F,D,Weapons,T,
'165.15,Theft of Services,F,E,Property,F,
'105.15,Conspiracy in the Second Degree,F,A-I,Misc,F,
'125.20,Manslaughter in the First Degree,F,B,Violent,F,
'265.02,Criminal possession of a weapon in the third degree,F,D,Weapons,F,
'160.05,Robbery in the third degree,F,D,Violent,F,
'155.30,Grand larceny in the fourth degree,F,E,Property,F,
'120.25,Reckless endangerment in the first degree,F,D,Misc,F,
'130.70,Aggravated sexual abuse in the first degree,F,B,Sex Offense,F,
'220.18,Criminal possession of a controlled substance in the second degree,F,A-II,Narcotics,F,
'110-135.20,Kidnapping in the second degree,F,C,Misc,T,
'265.01,Criminal possession of a weapon in the fourth degree,M,A,Weapons,F,
'110-155.35,Grand Larceny in the Third Degree,F,E,Property,T,
'240.75,Aggravated family offense,F,E,Misc,F,
'263.05,Use of  child in a sexual performance,F,C,Sex Offense,F,
'120.18,Menacing a police officer or peace officer,F,D,Misc,F,
'165.45,Criminal possession of stolen property in the fourth degree,F,E,Property,F,
'0,NA,NA,NA,Misc,F,
'155.40,Grand larceny in the second degree,F,C,Property,F,
'130.30,Rape in the second degree,F,D,Sex Offense,F,
'215.51,Criminal contempt in the first degree,F,E,Misc,F,
'125.15,Manslaughter in the Second Degree,F,C,Violent,F,
'511-D,Aggravated failure to answer appearance tickets or pay fines imposed,M,NA,Vehicle,F,
'130.25,Rape in the third degree,F,E,Sex Offense,F,
'220.03,Criminal possession of a controlled substance in the seventh degree.,M,A,Narcotics,F,
'265.04,Criminal possession of a dangerous weapon in the first degree,F,B,Weapons,F,
'110-140.25,Burglary in the second degree,F,D,Property,T,
'155.25,Petit larceny,M,A,Property,F,
'110-160.10,Robbery in the second degree,F,D,Violent,T,
'110-140.20,Burglary in the third degree,F,E,Property,T,
'120.03,Vehicular Assault in the second degree,F,E,Violent,F,
'168-T,Failure to register or verify as a sex offender,F,E,Sex Offense,F,
'220.06,Criminal possession of a controlled substance in the fifth degree.,F,D,Narcotics,F,
'130.60,Sexual abuse in the second degree,M,A,Sex Offense,F,
'AC 000.00,Place Holder,NA,NA,Misc,F,
'110-130.65,Sexual abuse in the first degree,F,E,Sex Offense,T,
'150.10,Arson in the third degree,F,C,Property,F,
'130.52,Forcible touching,M,A,Sex Offense,F,
'215.50,Criminal contempt in the second degree,M,A,Misc,F,
'120.07,Gang assault in the first degree,F,B,Violent,F,
'110-130.30,Rape in the second degree,F,E,Sex Offense,T,
'265.11,Criminal sale of a firearm in the third degree,F,D,Weapons,F,
'120.04,Vehicular Assault in the first degree,F,D,Violent,F,
'120.08,"Assault on a peace officer, police officer, fireman, or EMS professional ",F,C,Violent,F,
'110-150.05,Arson in the fourth degree,M,A,Property,T,
'240.31,Aggravated harassment in the first degree,F,E,Misc,F,
'205.30,Resisting arrest,M,A,Misc,F,
'110-120.07,Gang assault in the first degree,F,C,Violent,T,
'FOA 900.00,Fugitive warrant status,NA,NA,Misc,F,
'110-160.05,Robbery in the third degree,F,E,Violent,T,
'265.01B,Criminal possession of a firearm,F,E,Weapons,F,
'110-121.12,Strangulation in the second degree,F,E,Violent,T,
'260.10,Endangering the welfare of a child,M,A,Misc,F,
'263.15SM,Promotoing a sexual performance by a child,F,D,Sex Offense,F,
'110-220.39,Criminal sale of a controlled substance in the fourth degree,F,C,Narcotics,T,
'260,Abandonment of a child,F,E,Misc,F,
'VTL 1192.1,Driving while abilty impaired,M,NA,Vehicle,F,
'165.50,Criminal possession of stolen property in the third degree,F,D,Property,F,
'145,Criminal mischief in the fourth degree,M,A,Misc,F,
'125.10,Criminally negligent homicide,F,E,Violent,F,
'135.10,Unlawful imprisonment in the first degree,F,E,Misc,F,
'511(3)(A),Aggravated Unlicensed Operation in the first degree,M,NA,Vehicle,F,
'110-265.01,Criminal possession of a weapon in the fourth degree,M,B,Weapons,T,
'120.14,Menacing in the second degree,M,A,Misc,F,
'170.10,Forgery in the second degree,F,D,Misc,F,
'110-220.16,Criminal possession of a controlled substance in the third degree,F,C,Narcotics,T,
'110-130.50,Criminal sexual act in the first degree,F,C,Sex Offense,T,
'1192(3),Driving while intoxicated,NA,NA,Vehicle,F,
'125.12,Vehicular manslaughter in the second degree,F,D,Violent,F,
'130.67,Aggravated sexual abuse in the second degree,F,C,Sex Offense,F,
'110-120.10H,Assault in the first degree,F,C,Violent,T,
'AC 999.99,NA,NA,NA,Misc,F,
